YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
74 01 08 03 278 05.3 99.0 99.00 99.00 99.00 999 1025.0  02.0 999.0  02.0 99.0
74 01 08 06 262 04.7 99.0 99.00 99.00 99.00 999 1024.0  01.7 999.0  01.7 99.0
74 01 08 09 278 04.9 99.0 99.00 99.00 99.00 999 1023.0  01.5 999.0  01.5 99.0
74 01 08 12 282 04.9 99.0 99.00 99.00 99.00 999 1023.0  01.6 999.0  01.6 99.0
74 01 08 15 265 03.1 99.0 99.00 99.00 99.00 999 1022.0  01.0 999.0  01.0 99.0
74 01 08 18 312 00.3 99.0 99.00 99.00 99.00 999 1023.0  00.4 999.0  00.4 99.0
74 01 08 21 241 01.5 99.0 99.00 99.00 99.00 999 1022.0  02.1 999.0  02.1 99.0
74 01 09 00 246 02.4 99.0 99.00 99.00 99.00 999 1021.0  02.5 999.0  02.5 99.0
74 01 09 03 302 01.3 99.0 99.00 99.00 99.00 999 1021.0  02.0 999.0  01.4 99.0
74 01 09 06 215 03.0 99.0 99.00 99.00 99.00 999 1021.0  00.4 999.0  00.4 99.0
74 01 09 09 217 03.6 99.0 99.00 99.00 99.00 999 1020.0 -00.1 999.0 -00.1 99.0
74 01 09 12 190 04.6 99.0 99.00 99.00 99.00 999 1020.0  00.4 999.0  00.4 99.0
74 01 09 15 137 04.6 99.0 99.00 99.00 99.00 999 1019.0  00.8 999.0  00.8 99.0
74 01 09 18 175 05.0 99.0 99.00 99.00 99.00 999 1018.0  01.2 999.0  01.0 99.0
74 01 09 21 172 04.7 99.0 99.00 99.00 99.00 999 1018.0  01.3 999.0  01.2 99.0
74 01 10 00 195 05.5 99.0 99.00 99.00 99.00 999 1017.0  02.0 999.0  01.6 99.0
74 01 10 03 195 04.1 99.0 99.00 99.00 99.00 999 1018.0  02.3 999.0  02.2 99.0
74 01 10 06 170 03.5 99.0 99.00 99.00 99.00 999 1017.0  02.4 999.0  02.3 99.0
74 01 10 09 174 03.3 99.0 99.00 99.00 99.00 999 1017.0  01.9 999.0  01.8 99.0
74 01 10 12 180 00.4 99.0 99.00 99.00 99.00 999 1017.0  01.9 999.0  01.9 99.0
74 01 10 15 165 01.7 99.0 99.00 99.00 99.00 999 1016.0  01.9 999.0  01.9 99.0
74 01 10 18 147 01.1 99.0 99.00 99.00 99.00 999 1016.0  01.8 999.0  01.8 99.0
74 01 10 21 187 00.6 99.0 99.00 99.00 99.00 999 1016.0  02.3 999.0  02.0 99.0
74 01 11 00 285 00.4 99.0 99.00 99.00 99.00 999 1015.0  02.8 999.0  02.3 99.0
74 01 11 03 020 02.6 99.0 99.00 99.00 99.00 999 1016.0  02.3 999.0  02.3 99.0
74 01 11 06 062 02.3 99.0 99.00 99.00 99.00 999 1016.0  02.2 999.0  02.1 99.0
74 01 11 09 010 03.5 99.0 99.00 99.00 99.00 999 1016.0  02.6 999.0  02.6 99.0
74 01 11 12 053 03.6 99.0 99.00 99.00 99.00 999 1015.0  02.1 999.0  02.1 99.0
74 01 11 15 023 05.3 99.0 99.00 99.00 99.00 999 1014.0  01.8 999.0  01.8 99.0
74 01 11 18 059 04.4 99.0 99.00 99.00 99.00 999 1014.0  01.7 999.0  01.7 99.0
74 01 11 21 082 05.2 99.0 99.00 99.00 99.00 999 1014.0  01.9 999.0  01.9 99.0
74 01 12 00 049 05.9 99.0 99.00 99.00 99.00 999 1012.0  01.7 999.0  01.1 99.0
74 01 12 03 075 05.3 99.0 99.00 99.00 99.00 999 1013.0  01.2 999.0  00.5 99.0
74 01 12 06 060 06.3 99.0 99.00 99.00 99.00 999 1012.0  01.5 999.0  00.4 99.0
74 01 12 09 335 09.2 99.0 99.00 99.00 99.00 999 1012.0  01.0 999.0 -04.9 99.0
74 01 12 12 328 09.0 99.0 99.00 99.00 99.00 999 1011.0 -00.1 999.0 -06.2 99.0
74 01 12 15 012 10.7 99.0 99.00 99.00 99.00 999 1010.0 -00.3 999.0 -05.8 99.0
74 01 12 18 055 09.7 99.0 99.00 99.00 99.00 999 1009.0 -01.0 999.0 -07.2 99.0
74 01 12 21 342 10.4 99.0 99.00 99.00 99.00 999 1009.0 -00.8 999.0 -07.6 99.0
74 01 13 00 088 09.2 99.0 99.00 99.00 99.00 999 1008.0 -01.5 999.0 -02.9 99.0
74 01 13 03 063 07.7 99.0 99.00 99.00 99.00 999 1010.0 -01.7 999.0 -06.9 99.0
74 01 13 06 056 07.6 99.0 99.00 99.00 99.00 999 1012.0 -01.8 999.0 -07.6 99.0
