YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 03 04 00 174 10.0 12.2  3.26 16.67  8.12 999 1021.9   4.7   5.2 999.0 99.0 99.00
2005 01 03 05 00 177  9.9 12.5  3.01 16.67  7.48 999 1022.3   4.5   5.2 999.0 99.0 99.00
2005 01 03 06 00 163  9.9 12.2  2.96 16.67  7.22 999 1021.1   5.2   5.2 999.0 99.0 99.00
2005 01 03 07 00 172 10.8 12.8  3.05 16.67  7.15 999 1021.1   5.5   5.2 999.0 99.0 99.00
2005 01 03 08 00 175 10.9 12.8  3.07 16.67  6.98 999 1021.0   5.5   5.1 999.0 99.0 99.00
2005 01 03 09 00 172 10.1 12.7  2.97 14.29  6.46 999 1020.3   5.6   5.1 999.0 99.0 99.00
2005 01 03 10 00 177 10.9 13.4  3.14 16.67  6.79 999 1019.6   5.6   5.1 999.0 99.0 99.00
2005 01 03 11 00 170 11.0 13.2  2.92 14.29  6.41 999 1018.9   5.6   5.1 999.0 99.0 99.00
2005 01 03 12 00 165 11.6 13.6  3.01 14.29  6.47 999 1018.0   5.9   5.1 999.0 99.0 99.00
2005 01 03 13 00 168 11.3 13.0  3.36 14.29  6.77 999 1017.7   5.8   5.1 999.0 99.0 99.00
2005 01 03 14 00 164 12.8 15.2  3.13 14.29  6.64 999 1016.5   5.9   5.2 999.0 99.0 99.00
2005 01 03 15 00 172 12.7 15.5  3.37 14.29  6.89 999 1015.7   6.0   5.2 999.0 99.0 99.00
2005 01 03 16 00 174 12.2 14.7  3.66  8.33  6.78 999 1015.1   5.9   5.2 999.0 99.0 99.00
2005 01 03 17 00 175 12.4 15.5  3.74 12.50  7.12 999 1014.7   5.9   5.2 999.0 99.0 99.00
2005 01 03 18 00 176 12.1 14.1  4.10  8.33  6.99 999 1014.8   5.9   5.2 999.0 99.0 99.00
2005 01 03 19 00 182 12.2 14.5  3.69  9.09  7.05 999 1014.9   6.0   5.2 999.0 99.0 99.00
2005 01 03 20 00 184 11.8 14.3  3.97  9.09  7.13 999 1015.6   6.3   5.2 999.0 99.0 99.00
2005 01 03 21 00 183 12.8 16.0  3.91 10.00  7.11 999 1015.7   6.3   5.2 999.0 99.0 99.00
